,_id,stock_identity,trade_date,amount,change,close,high,low,open,pct_chg,pre_close,ts_code,vol
5869,5e92c5c8d1add8fec462ce00,000001.SSE,2014-12-16,492716183.751,68.097,3021.518,3021.897,2943.912,2953.811,2.3057,2953.421,000001.SH,453842723.0
5870,5e92c5c8d1add8fec462cdff,000001.SSE,2014-12-17,580338604.916,39.502,3061.02,3076.599,2993.333,3031.952,1.3074,3021.518,000001.SH,542503179.0
5871,5e92c5c8d1add8fec462cdfe,000001.SSE,2014-12-18,466524526.293,-3.499,3057.521,3089.791,3030.319,3062.801,-0.1143,3061.02,000001.SH,435904952.0
5872,5e92c5c8d1add8fec462cdfd,000001.SSE,2014-12-19,515580288.301,51.075,3108.596,3117.527,3018.421,3053.075,1.6705,3057.521,000001.SH,521073511.0
5873,5e92c5c8d1add8fec462cdfc,000001.SSE,2014-12-22,624481484.209,18.849,3127.445,3189.867,3090.509,3129.267,0.6064,3108.596,000001.SH,679371915.0
5874,5e92c5c8d1add8fec462cdfb,000001.SSE,2014-12-23,419467701.001,-94.833,3032.612,3136.838,3025.667,3085.08,-3.0323,3127.445,000001.SH,437762400.0
5875,5e92c5c8d1add8fec462cdfa,000001.SSE,2014-12-24,378726756.676,-60.08,2972.532,3050.507,2934.911,3039.206,-1.9811,3032.612,000001.SH,376805246.0
5876,5e92c5c8d1add8fec462cdf9,000001.SSE,2014-12-25,379017700.926,100.004,3072.536,3073.345,2969.874,2992.462,3.3643,2972.532,000001.SH,376947776.0
5877,5e92c5c8d1add8fec462cdf8,000001.SSE,2014-12-26,488915101.899,85.067,3157.603,3164.155,3064.176,3078.005,2.7686,3072.536,000001.SH,460700932.0
5878,5e92c5d1d1add8fec462ea14,000001.SSE,2014-12-29,555904355.449,10.413,3168.016,3223.86,3126.944,3212.559,0.3298,3157.603,000001.SH,510111439.0
5879,5e92c5d1d1add8fec462ea13,000001.SSE,2014-12-30,437263253.561,-2.201,3165.815,3190.299,3130.353,3160.801,-0.0695,3168.016,000001.SH,397725320.0
5880,5e92c5d1d1add8fec462ea12,000001.SSE,2014-12-31,432319844.015,68.862,3234.677,3239.357,3157.259,3172.597,2.1752,3165.815,000001.SH,405998521.0
5881,5e92c5d1d1add8fec462ea11,000001.SSE,2015-01-05,549760106.398,115.842,3350.519,3369.281,3253.883,3258.627,3.5813,3234.677,000001.SH,531352391.0
5882,5e92c5d1d1add8fec462ea10,000001.SSE,2015-01-06,532398463.844,0.927,3351.446,3394.224,3303.184,3330.799,0.0277,3350.519,000001.SH,501661695.0
5883,5e92c5d1d1add8fec462ea0f,000001.SSE,2015-01-07,436416698.934,22.508,3373.954,3374.896,3312.211,3326.649,0.6716,3351.446,000001.SH,391918880.0
5884,5e92c5d1d1add8fec462ea0e,000001.SSE,2015-01-08,399230297.448,-80.498,3293.456,3381.566,3285.095,3371.957,-2.3859,3373.954,000001.SH,371131170.0
5885,5e92c5d1d1add8fec462ea0d,000001.SSE,2015-01-09,458648012.598,-8.044,3285.412,3404.834,3267.509,3276.965,-0.2442,3293.456,000001.SH,410240872.0
5886,5e92c5d1d1add8fec462ea0c,000001.SSE,2015-01-12,366273059.514,-56.096,3229.316,3275.185,3191.582,3258.213,-1.7074,3285.412,000001.SH,322064679.0
5887,5e92c5d1d1add8fec462ea0b,000001.SSE,2015-01-13,273588773.806,5.985,3235.301,3259.386,3214.412,3223.542,0.1853,3229.316,000001.SH,230725754.0
5888,5e92c5d1d1add8fec462ea0a,000001.SSE,2015-01-14,267204528.501,-12.864,3222.437,3268.483,3193.978,3242.337,-0.3976,3235.301,000001.SH,240190747.0
5889,5e92c5d1d1add8fec462ea09,000001.SSE,2015-01-15,330610537.916,114.018,3336.455,3337.084,3207.545,3224.07,3.5383,3222.437,000001.SH,282546240.0
5890,5e92c5d1d1add8fec462ea08,000001.SSE,2015-01-16,392253901.947,40.04,3376.495,3400.318,3340.49,3343.603,1.2001,3336.455,000001.SH,339876753.0
5891,5e92c5d1d1add8fec462ea07,000001.SSE,2015-01-19,409885991.967,-260.144,3116.351,3262.207,3095.066,3189.727,-7.7046,3376.495,000001.SH,401098789.0
5892,5e92c5d1d1add8fec462ea06,000001.SSE,2015-01-20,416295210.514,56.701,3173.052,3190.245,3100.477,3114.56,1.8195,3116.351,000001.SH,357080811.0
5893,5e92c5d1d1add8fec462ea05,000001.SSE,2015-01-21,473758667.167,150.559,3323.611,3337.004,3178.343,3189.085,4.7449,3173.052,000001.SH,410956024.0
5894,5e92c5d1d1add8fec462ea04,000001.SSE,2015-01-22,407874066.619,19.733,3343.344,3352.384,3293.978,3327.319,0.5937,3323.611,000001.SH,353382961.0
5895,5e92c5d1d1add8fec462ea03,000001.SSE,2015-01-23,420979534.063,8.42,3351.764,3406.786,3328.293,3357.096,0.2518,3343.344,000001.SH,366249240.0
5896,5e92c5d1d1add8fec462ea02,000001.SSE,2015-01-26,358427470.856,31.418,3383.182,3384.798,3321.315,3347.257,0.9374,3351.764,000001.SH,317541007.0
5897,5e92c5d1d1add8fec462ea01,000001.SSE,2015-01-27,418298870.196,-30.222,3352.96,3390.216,3290.219,3389.853,-0.8933,3383.182,000001.SH,374517551.0
5898,5e92c5d1d1add8fec462ea00,000001.SSE,2015-01-28,341564300.104,-47.222,3305.738,3354.802,3294.655,3325.722,-1.4084,3352.96,000001.SH,301927095.0
5899,5e92c5d1d1add8fec462e9ff,000001.SSE,2015-01-29,296424499.722,-43.433,3262.305,3286.786,3234.241,3258.997,-1.3139,3305.738,000001.SH,274658613.0
5900,5e92c5d1d1add8fec462e9fe,000001.SSE,2015-01-30,284265652.114,-51.942,3210.363,3288.503,3210.308,3273.747,-1.5922,3262.305,000001.SH,258312548.0
5901,5e92c5d1d1add8fec462e9fd,000001.SSE,2015-02-02,266849961.763,-82.063,3128.3,3175.134,3122.572,3148.136,-2.5562,3210.363,000001.SH,250861629.0
5902,5e92c5d1d1add8fec462e9fc,000001.SSE,2015-02-03,283355954.757,76.607,3204.907,3207.935,3129.732,3156.086,2.4488,3128.3,000001.SH,248192164.0
5903,5e92c5d1d1add8fec462e9fb,000001.SSE,2015-02-04,290155154.574,-30.781,3174.126,3238.982,3171.144,3212.822,-0.9604,3204.907,000001.SH,249098086.0
5904,5e92c5d1d1add8fec462e9fa,000001.SSE,2015-02-05,348266954.936,-37.595,3136.531,3251.212,3135.819,3251.212,-1.1844,3174.126,000001.SH,306139305.0
5905,5e92c5d1d1add8fec462e9f9,000001.SSE,2015-02-06,266502786.486,-60.624,3075.907,3129.539,3052.939,3120.09,-1.9328,3136.531,000001.SH,246749666.0
5906,5e92c5d1d1add8fec462e9f8,000001.SSE,2015-02-09,240719679.061,19.217,3095.124,3119.034,3049.111,3063.51,0.6248,3075.907,000001.SH,206108383.0
5907,5e92c5d1d1add8fec462e9f7,000001.SSE,2015-02-10,225084911.951,46.469,3141.593,3142.099,3084.253,3090.49,1.5014,3095.124,000001.SH,193817139.0
5908,5e92c5d1d1add8fec462e9f6,000001.SSE,2015-02-11,210862549.367,16.111,3157.704,3166.421,3139.052,3145.765,0.5128,3141.593,000001.SH,172840094.0
5909,5e92c5d1d1add8fec462e9f5,000001.SSE,2015-02-12,229691579.784,15.712,3173.416,3181.766,3134.244,3157.959,0.4976,3157.704,000001.SH,194592309.0
5910,5e92c5d1d1add8fec462e9f4,000001.SSE,2015-02-13,293017678.939,30.411,3203.827,3237.159,3182.794,3186.808,0.9583,3173.416,000001.SH,261290436.0
5911,5e92c5d1d1add8fec462e9f3,000001.SSE,2015-02-16,265950695.641,18.536,3222.363,3228.846,3195.884,3206.137,0.5786,3203.827,000001.SH,223797429.0
5912,5e92c5d1d1add8fec462e9f2,000001.SSE,2015-02-17,263340054.08,24.543,3246.906,3255.725,3230.772,3230.884,0.7616,3222.363,000001.SH,228332624.0
