,stock_identity,name,enquiry_date,enquiry_topic,enquiry_title,exchange
77,603507.SSE,振江股份,问询函,2020-04-08 18:10:01,关于江苏振江新能源装备股份有限公司的问询函,SSE
78,603093.SSE,南华期货,定期报告事后审核意见函,2020-04-07 17:10:21,关于南华期货股份有限公司的定期报告事后审核意见函,SSE
79,600766.SSE,园城黄金,重大资产重组预案审核意见函,2020-04-03 21:10:01,关于烟台园城黄金股份有限公司的重大资产重组预案信息披露的问询函,SSE
80,603933.SSE,睿能科技,定期报告事后审核意见函,2020-04-03 19:40:01,关于福建睿能科技股份有限公司的定期报告事后审核意见函,SSE
81,600145.SSE,*ST新亿,问询函,2020-04-02 23:00:01,关于新疆亿路万源实业投资控股股份有限公司的问询函,SSE
82,601558.SSE,ST锐电,问询函,2020-04-02 23:50:53,关于华锐风电科技（集团）股份有限公司的问询函,SSE
83,601777.SSE,力帆股份,问询函,2020-04-02 19:50:01,关于对力帆实业（集团）股份有限公司涉及仲裁有关事项的问询函,SSE
84,600130.SSE,波导股份,定期报告事后审核意见函,2020-04-02 18:30:28,关于宁波波导股份有限公司的定期报告事后审核意见函,SSE
85,603813.SSE,原尚股份,定期报告事后审核意见函,2020-04-02 17:10:01,关于广东原尚物流股份有限公司2019年年度报告的信息披露监管问询函,SSE
86,600166.SSE,福田汽车,问询函,2020-04-01 22:10:01,关于北汽福田汽车股份有限公司股权转让有关事项的问询函,SSE
87,600477.SSE,杭萧钢构,定期报告事后审核意见函,2020-04-01 19:00:01,关于杭萧钢构股份有限公司的定期报告事后审核意见函,SSE
88,601216.SSE,君正集团,问询函,2020-04-01 18:40:01,关于内蒙古君正能源化工集团股份有限公司向关联方增资事项的二次问询函,SSE
89,600187.SSE,国中水务,问询函,2020-04-01 18:00:01,关于黑龙江国中水务股份有限公司的问询函,SSE
90,600692.SSE,亚通股份,问询函,2020-04-01 17:40:01,关于对亚通股份受让上海玮银建设工程有限公司70%股权的问询函,SSE
